TokenID,Character,Earrings,Eyes,Hat,Mouth,Neck,Nose,Whiskers
94,Reepicheep,None,Closed,Construction Hat,Big Smile,Plain,No Nose,Whiskers
95,Jerry,None,Looking Right,No Hat,Frown,Plain,Big,Whiskers
96,Stuart,None,Looking Left,No Hat,Big Frown,Fancy,Dark,Whiskers
97,Simon,None,Crazy,No Hat,Small Frown,Plain,Big,Tiny Whiskers
98,Reepicheep,None,Looking Up,Halo,Small Frown,Plain,Big,Whiskers
100,Stuart,None,Looking Right,No Hat,Frown,Fancy,No Nose,Big Whiskers
101,Reepicheep,None,Looking Left,No Hat,Small Smile,Fancy,Big,Whiskers
102,Jerry,None,Crosseyed,No Hat,Smile,Plain,Tiny,Whiskers
103,Reepicheep,None,Closed,No Hat,Small Frown,Plain,Dark,Whiskers
104,Simon,None,Looking Right,Construction Hat,Frown,Plain,Normal,Tiny Whiskers
105,Templeton,None,Looking Up,No Hat,Big Smile,Plain,Normal,Tiny Whiskers
106,Stuart,None,Looking Left,No Hat,Big Frown,Plain,Dark,Tiny Whiskers
107,Stuart,None,Looking Right,No Hat,Straight,Plain,Dark,Tiny Whiskers
108,Common,None,Sunglasses,No Hat,Smile,Plain,Normal,Whiskers
109,Simon,None,Looking Up,Halo,Big Smile,Plain,Big,Tiny Whiskers
110,Simon,None,Crosseyed,Bane,Straight,Red Necklace,Big,Whiskers
111,Templeton,None,Closed,Construction Hat,Small Smile,Plain,No Nose,Tiny Whiskers
113,Stuart,None,Looking Up,No Hat,Small Smile,Plain,Big,Big Whiskers
114,Common,None,Crosseyed,Soldier,Straight,Plain,Tiny,Whiskers
115,Jerry,None,Crosseyed,No Hat,Small Smile,Plain,No Nose,Big Whiskers
116,Matthias,None,Looking Right,Halo,Small Smile,Plain,Dark,Whiskers
118,Jerry,None,Crosseyed,No Hat,Small Smile,Plain,Dark,Whiskers
119,Jerry,None,Looking Right,No Hat,Smile,Plain,No Nose,Whiskers
120,Matthias,None,Looking Left,No Hat,Small Smile,Plain,Tiny,Whiskers
121,Common,None,Crosseyed,No Hat,Big Smile,Plain,No Nose,Whiskers
123,Common,None,Bandit Mask,Elvis,Big Frown,Plain,Tiny,No Whiskers
124,Reepicheep,None,Looking Up,Cheese,Big Smile,Plain,Big,Whiskers
