TokenID,Character,Earrings,Eyes,Hat,Mouth,Neck,Nose,Whiskers
1053,Matthias,None,Looking Right,No Hat,Smile,Black Necklace,Big,Big Whiskers
1054,Reepicheep,None,Looking Right,Soldier,Small Frown,Plain,No Nose,Big Whiskers
1055,Reepicheep,Bar,Looking Up,No Hat,Big Frown,Plain,Tiny,Whiskers
1056,Simon,None,Bandit Mask,No Hat,Smile,Plain,Tiny,Whiskers
1058,gL1tCh3D,None,Looking Left,No Hat,Big Smile,Fancy,Big,Handlebar
1059,Simon,None,Looking Left,Construction Hat,Big Smile,Fancy,Normal,Tiny Whiskers
1061,Matthias,None,Looking Up,No Hat,Straight,Plain,Big,Tiny Whiskers
1062,Matthias,None,Looking Up,No Hat,Small Smile,Red Necklace,Tiny,Big Whiskers
1063,Common,None,Looking Up,Halo,Straight,Plain,Dark,Whiskers
1064,Irradiated,None,Looking Right,No Hat,Big Smile,Plain,Tiny,No Whiskers
1065,Matthias,None,Looking Right,No Hat,Straight,Fancy,Normal,Tiny Whiskers
1066,Alvin,None,Bandit Mask,Construction Hat,Big Smile,Plain,Big,Whiskers
1067,Jerry,None,Sunglasses,Construction Hat,Big Frown,Plain,No Nose,Tiny Whiskers
1068,Simon,Bar,Looking Left,Karate Kid,Big Smile,Gold Chain,No Nose,Whiskers
1069,Reepicheep,None,Looking Up,Halo,Small Frown,Plain,Tiny,Whiskers
1070,Matthias,None,Looking Right,Elvis,Straight,Red Necklace,Tiny,Tiny Whiskers
1071,Matthias,None,Closed,No Hat,Small Frown,Plain,Normal,Whiskers
1073,Matthias,None,Looking Up,No Hat,Straight,Black Necklace,Tiny,Tiny Whiskers
1074,Alvin,None,Looking Right,Construction Hat,Big Frown,Plain,Normal,Tiny Whiskers
1075,Simon,Bar,Looking Right,No Hat,Straight,Plain,No Nose,Tiny Whiskers
1077,Alvin,None,Looking Up,No Hat,Smile,Plain,Dark,Tiny Whiskers
1080,Alvin,None,Looking Left,Construction Hat,Small Frown,Plain,Normal,Whiskers
1082,Jerry,None,Bandit Mask,No Hat,Big Frown,Plain,Big,Tiny Whiskers
1083,Stuart,Flower,Looking Left,No Hat,Big Smile,Plain,Normal,Big Whiskers
1084,Alvin,None,Looking Up,No Hat,Big Frown,Plain,Big,Tiny Whiskers
1085,Common,None,Looking Left,Construction Hat,Small Smile,Black Necklace,Tiny,Tiny Whiskers
1088,Simon,None,Looking Up,Halo,Small Frown,Gold Chain,No Nose,Whiskers
1089,Common,None,Bandit Mask,No Hat,Frown,Fancy,Dark,Handlebar
1090,Jerry,None,Crosseyed,No Hat,Smile,Plain,Big,Whiskers
1091,Common,None,Looking Right,No Hat,Big Frown,Plain,Normal,Big Whiskers
1092,Stuart,None,Looking Up,No Hat,Straight,Plain,No Nose,Whiskers
1097,Stuart,None,Closed,Karate Kid,Smile,Plain,Normal,Tiny Whiskers
1100,Reepicheep,Flower,Looking Right,Karate Kid,Big Frown,Plain,Normal,Tiny Whiskers
1103,Simon,None,Bandit Mask,No Hat,Smile,Plain,No Nose,Tiny Whiskers
1104,Simon,None,Looking Right,No Hat,Frown,Gold Chain,Dark,Whiskers
1106,Simon,None,Looking Left,Karate Kid,Big Smile,Plain,Normal,Tiny Whiskers
1107,Matthias,None,Looking Left,No Hat,Big Smile,Plain,No Nose,Big Whiskers
1108,Jerry,Bar,Crosseyed,No Hat,Small Frown,Plain,Tiny,Whiskers
1109,Stuart,None,Looking Right,No Hat,Smile,Plain,Big,Whiskers
1110,Reepicheep,None,Looking Right,Elvis,Small Smile,Plain,Normal,No Whiskers
1112,Common,None,Looking Up,No Hat,Smile,Black Necklace,Big,Handlebar
1113,Stuart,None,Looking Left,No Hat,Frown,Plain,Normal,Tiny Whiskers
1115,Alvin,None,Looking Up,No Hat,Big Frown,Plain,Dark,Whiskers
1117,Jerry,None,Crosseyed,No Hat,Big Frown,Plain,Normal,Tiny Whiskers
1118,Stuart,None,3D Glasses,No Hat,Small Smile,Plain,Big,Whiskers
1119,Reepicheep,None,Sunglasses,Cheese,Frown,Plain,Dark,Tiny Whiskers
1120,Common,None,Bandit Mask,No Hat,Smile,Fancy,Tiny,Handlebar
1121,Jerry,None,Crosseyed,Motorcycle Helmet,Frown,Plain,Dark,Whiskers
1122,Common,Stud,Looking Right,Cheese,Smile,Plain,Tiny,No Whiskers
1123,Matthias,Bar,Bandit Mask,No Hat,Smile,Plain,Big,No Whiskers
1127,Matthias,None,Looking Right,Karate Kid,Smile,Plain,Normal,Handlebar
1128,Stuart,None,Looking Up,Astronaut,Frown,Red Necklace,Normal,No Whiskers
1129,Irradiated,None,Looking Left,No Hat,Frown,Plain,Big,No Whiskers
1131,Jerry,None,Crosseyed,No Hat,Smile,Plain,Normal,Whiskers
1133,Matthias,None,Crosseyed,Cheese,Small Smile,Plain,No Nose,Big Whiskers
1134,Matthias,Stud,Looking Right,No Hat,Small Smile,Plain,Dark,Whiskers
1135,Stuart,None,Crosseyed,Bane,Big Frown,Plain,Big,Whiskers
1136,Common,None,Looking Right,Karate Kid,Frown,Plain,Big,Whiskers
1137,Reepicheep,None,Looking Right,Cheese,Big Frown,Plain,Normal,Whiskers
1140,Common,None,Looking Right,No Hat,Small Frown,Red Necklace,Big,Whiskers
1141,Reepicheep,Flower,Crosseyed,Elvis,Small Frown,Fancy,Dark,Whiskers
1142,Simon,None,Looking Right,No Hat,Straight,Black Necklace,Big,Whiskers
1143,Common,None,Looking Up,No Hat,Frown,Plain,Big,Whiskers
1144,Stuart,None,Crosseyed,No Hat,Smile,Black Necklace,Tiny,Whiskers
1146,Matthias,None,Looking Right,Astronaut,Smile,Gold Chain,Big,Tiny Whiskers
1147,Stuart,None,Bandit Mask,Halo,Frown,Black Necklace,Dark,No Whiskers
1150,Stuart,None,Closed,Halo,Big Frown,Plain,Normal,Big Whiskers
1151,Reepicheep,Bar,Crazy,Construction Hat,Small Smile,Plain,Tiny,Tiny Whiskers
1152,Templeton,None,Looking Left,No Hat,Straight,Plain,Tiny,Tiny Whiskers
1153,Simon,None,Looking Right,No Hat,Smile,Red Necklace,Dark,Big Whiskers
1154,Simon,Flower,3D Glasses,No Hat,Straight,Plain,Normal,Tiny Whiskers
1155,Common,None,Looking Up,No Hat,Small Smile,Fancy,Normal,Whiskers
1156,Stuart,Bar,Looking Right,Soldier,Frown,Plain,Big,Whiskers
1160,Templeton,None,Looking Left,No Hat,Big Smile,Plain,No Nose,Whiskers
1161,Reepicheep,None,Looking Up,Cheese,Big Frown,Black Necklace,Normal,Whiskers
1164,Jerry,None,Looking Up,Cheese,Straight,Plain,Big,Whiskers
1165,Common,None,Looking Left,No Hat,Straight,Red Necklace,Tiny,Whiskers
1166,Reepicheep,None,Looking Left,No Hat,Small Smile,Black Necklace,Tiny,No Whiskers
1167,Stuart,None,Sunglasses,Karate Kid,Small Smile,Plain,Normal,Big Whiskers
1168,Simon,None,Looking Left,Soldier,Big Smile,Plain,Normal,No Whiskers
1169,Matthias,None,Looking Right,No Hat,Big Frown,Plain,Dark,Whiskers
1172,Alvin,None,Looking Left,No Hat,Big Smile,Plain,Big,Whiskers
1173,Matthias,None,Looking Up,No Hat,Smile,Plain,No Nose,No Whiskers
1174,Simon,None,Crosseyed,Motorcycle Helmet,Frown,Plain,Normal,Whiskers
1176,Reepicheep,None,Looking Right,Karate Kid,Small Frown,Black Necklace,Big,Whiskers
1177,Matthias,None,Looking Left,No Hat,Big Frown,Plain,Dark,Whiskers
1178,Reepicheep,None,Looking Left,Elvis,Smile,Black Necklace,Tiny,Whiskers
1182,Jerry,Flower,Looking Left,Elvis,Small Frown,Fancy,Big,Whiskers
1185,Reepicheep,None,Looking Up,No Hat,Big Smile,Plain,Tiny,Big Whiskers
1186,Jerry,None,Looking Right,No Hat,Small Frown,Fancy,Big,Whiskers
1187,Matthias,None,Bandit Mask,Cheese,Smile,Plain,Normal,Whiskers
1190,Reepicheep,None,Looking Left,Construction Hat,Big Smile,Red Necklace,Big,Tiny Whiskers
1191,Alvin,None,Looking Up,No Hat,Frown,Red Necklace,Normal,Tiny Whiskers
1194,Alvin,None,Looking Right,Halo,Big Frown,Plain,No Nose,Whiskers
1197,Matthias,None,Looking Left,No Hat,Big Frown,Plain,No Nose,Handlebar
1198,Jerry,None,Looking Right,No Hat,Straight,Red Necklace,Tiny,Tiny Whiskers
1199,Reepicheep,None,Looking Right,No Hat,Straight,Fancy,Normal,No Whiskers
1200,Templeton,None,Bandit Mask,Halo,Small Smile,Plain,Dark,Big Whiskers
1201,Jerry,None,Crosseyed,No Hat,Frown,Gold Chain,Normal,Whiskers
1204,Simon,Stud,Bandit Mask,No Hat,Frown,Plain,Dark,Whiskers
1207,Templeton,None,Looking Right,Halo,Big Smile,Plain,No Nose,Whiskers
1209,Simon,None,Closed,Karate Kid,Big Smile,Plain,No Nose,Whiskers
1212,Irradiated,None,Bandit Mask,Cheese,Smile,Red Necklace,Tiny,Whiskers
1214,Matthias,None,Crazy,Halo,Small Frown,Plain,Big,Whiskers
1216,Alvin,None,Looking Right,Soldier,Smile,Plain,No Nose,Whiskers
1217,Jerry,None,Looking Right,Soldier,Frown,Plain,Tiny,Tiny Whiskers
1221,Common,None,Looking Right,Motorcycle Helmet,Frown,Plain,Big,Tiny Whiskers
1222,Stuart,Stud,Bandit Mask,No Hat,Big Smile,Gold Chain,Tiny,Whiskers
1223,Jerry,None,Looking Right,No Hat,Small Frown,Plain,Tiny,Tiny Whiskers
1224,Reepicheep,None,Looking Up,No Hat,Small Frown,Plain,Dark,Tiny Whiskers
1225,Stuart,Jim Dangles,Bandit Mask,No Hat,Frown,Fancy,Normal,Whiskers
1227,Simon,None,Closed,No Hat,Small Smile,Plain,No Nose,Tiny Whiskers
1228,Alvin,None,Looking Left,Elvis,Small Smile,Plain,No Nose,Tiny Whiskers
1229,Reepicheep,None,Looking Up,No Hat,Small Frown,Plain,Big,Big Whiskers
1230,Templeton,None,Looking Left,No Hat,Smile,Plain,Tiny,Whiskers
1231,Common,None,Looking Up,Soldier,Big Smile,Plain,Dark,Whiskers
1232,Templeton,None,Looking Right,Halo,Small Smile,Red Necklace,Big,Whiskers
1233,Jerry,None,Looking Up,Karate Kid,Small Frown,Plain,Normal,Whiskers
1234,Stuart,None,Looking Left,No Hat,Small Smile,Plain,Tiny,Handlebar
1238,Jerry,None,Bandit Mask,No Hat,Big Smile,Plain,Normal,Whiskers
1241,Reepicheep,None,Bandit Mask,No Hat,Small Smile,Plain,Tiny,Whiskers
1242,Jerry,None,Looking Left,No Hat,Small Frown,Plain,Dark,Tiny Whiskers
1245,Jerry,None,Looking Left,No Hat,Straight,Plain,Normal,Whiskers
1247,Jerry,None,Looking Up,Bane,Straight,Plain,Big,No Whiskers
1249,Stuart,None,Looking Right,Construction Hat,Small Frown,Black Necklace,No Nose,No Whiskers
1250,Common,None,Crosseyed,Elvis,Big Frown,Black Necklace,Dark,Whiskers
1252,Simon,None,Looking Left,Elvis,Small Frown,Plain,Big,Tiny Whiskers
1254,Stuart,None,Looking Up,Construction Hat,Small Frown,Black Necklace,Tiny,Big Whiskers
1255,Common,None,Looking Up,No Hat,Big Smile,Plain,Tiny,Tiny Whiskers
1256,Matthias,None,Looking Right,Cheese,Smile,Red Necklace,Big,Tiny Whiskers
1257,Stuart,None,Looking Left,Karate Kid,Smile,Plain,Dark,Whiskers
1258,Matthias,None,Sunglasses,No Hat,Frown,Plain,Dark,Tiny Whiskers
1259,Alvin,None,Looking Up,No Hat,Big Frown,Plain,Big,Whiskers
1260,Templeton,Stud,Looking Left,No Hat,Small Smile,Plain,Tiny,No Whiskers
1261,Stuart,None,Looking Up,Cheese,Small Frown,Gold Chain,Dark,Tiny Whiskers
1262,Common,None,Looking Left,No Hat,Straight,Fancy,Big,Whiskers
1263,Simon,None,Looking Up,No Hat,Smile,Red Necklace,No Nose,Whiskers
1264,Stuart,Jim Dangles,Looking Right,No Hat,Straight,Plain,Dark,Whiskers
1265,Jerry,None,Looking Right,No Hat,Straight,Plain,Big,Whiskers
1266,Matthias,None,Looking Up,No Hat,Small Smile,Plain,Big,Whiskers
1267,Simon,None,Looking Right,No Hat,Smile,Plain,Dark,Tiny Whiskers
1268,Common,None,Looking Left,No Hat,Big Frown,Gold Chain,Big,Whiskers
1269,Stuart,None,Looking Right,Construction Hat,Smile,Plain,Tiny,No Whiskers
1273,Reepicheep,None,Closed,Halo,Big Frown,Red Necklace,No Nose,Whiskers
1276,Common,None,Crosseyed,No Hat,Frown,Fancy,Dark,Whiskers
1277,Simon,Bar,Looking Up,No Hat,Straight,Red Necklace,Dark,Tiny Whiskers
1283,Alvin,None,Looking Up,Karate Kid,Small Smile,Black Necklace,Big,Whiskers
1284,Reepicheep,None,Crosseyed,No Hat,Frown,Fancy,No Nose,Whiskers
1287,Templeton,Bar,Looking Up,Elvis,Frown,Plain,Tiny,Whiskers
1289,Stuart,None,Crosseyed,No Hat,Smile,Plain,Big,Tiny Whiskers
1292,Simon,None,Looking Up,Elvis,Smile,Plain,Tiny,Whiskers
1295,Stuart,None,Crazy,Karate Kid,Big Frown,Gold Chain,Normal,Big Whiskers
1296,Stuart,None,Crosseyed,Cheese,Small Smile,Plain,Dark,No Whiskers
1301,Stuart,Flower,Crosseyed,Cheese,Straight,Plain,Big,No Whiskers
1302,Templeton,None,Looking Left,No Hat,Smile,Plain,Normal,Whiskers
1303,Alvin,None,Crazy,No Hat,Straight,Plain,Big,Big Whiskers
1305,Jerry,None,Looking Up,No Hat,Big Smile,Plain,Dark,Whiskers
1306,Stuart,None,Closed,Motorcycle Helmet,Small Smile,Plain,Normal,Whiskers
1307,Common,None,Looking Right,Construction Hat,Small Smile,Black Necklace,Normal,Whiskers
1310,Stuart,None,Crosseyed,Halo,Straight,Plain,Big,No Whiskers
1311,Reepicheep,None,Looking Left,Soldier,Small Frown,Plain,Normal,Whiskers
1312,Simon,None,Bandit Mask,No Hat,Smile,Plain,Dark,Whiskers
1313,Stuart,None,Crosseyed,No Hat,Frown,Plain,Normal,Whiskers
1314,Stuart,None,Looking Up,No Hat,Frown,Plain,Dark,Big Whiskers
1315,Jerry,None,Looking Left,No Hat,Smile,Fancy,Big,No Whiskers
1316,Reepicheep,None,Crosseyed,No Hat,Straight,Plain,Big,Whiskers
1322,Common,Bar,Crosseyed,No Hat,Straight,Plain,No Nose,Big Whiskers
1323,Jerry,Flower,Crosseyed,No Hat,Smile,Plain,Dark,Tiny Whiskers
1324,Templeton,None,Looking Right,Motorcycle Helmet,Big Frown,Plain,Big,Whiskers
1325,Alvin,None,Looking Left,No Hat,Small Frown,Plain,No Nose,Whiskers
1326,Simon,None,Crosseyed,Elvis,Small Smile,Plain,Dark,Big Whiskers
1327,Common,None,Looking Up,No Hat,Big Smile,Black Necklace,Normal,Tiny Whiskers
1329,Templeton,None,Looking Left,No Hat,Small Frown,Plain,Normal,Big Whiskers
1331,Simon,None,Sunglasses,No Hat,Straight,Plain,Tiny,Big Whiskers
1332,Common,None,Looking Left,Construction Hat,Big Frown,Plain,Tiny,Big Whiskers
1333,Simon,None,Bandit Mask,No Hat,Small Frown,Plain,Normal,Whiskers
1334,Jerry,None,Bandit Mask,No Hat,Big Smile,Plain,Big,Whiskers
1336,Stuart,None,Crosseyed,No Hat,Small Smile,Plain,Dark,Big Whiskers
1337,Stuart,None,Looking Up,Halo,Frown,Black Necklace,Normal,Handlebar
1342,Stuart,None,Looking Up,Karate Kid,Small Frown,Plain,Tiny,Whiskers
1344,Matthias,None,Looking Up,Karate Kid,Big Smile,Plain,Normal,Big Whiskers
1346,Common,None,Crosseyed,No Hat,Big Smile,Black Necklace,Normal,Whiskers
1347,Matthias,None,Looking Up,Halo,Big Frown,Plain,Big,No Whiskers
1348,Matthias,None,Looking Left,Construction Hat,Small Smile,Plain,Normal,Big Whiskers
1349,Simon,None,Bandit Mask,No Hat,Small Smile,Plain,Big,Whiskers
1350,Matthias,None,Crosseyed,No Hat,Big Frown,Plain,Dark,Tiny Whiskers
1351,Templeton,None,Looking Right,No Hat,Frown,Red Necklace,Big,Whiskers
1352,Jerry,None,Looking Left,No Hat,Big Frown,Plain,Big,Tiny Whiskers
1353,Reepicheep,None,Looking Up,No Hat,Straight,Plain,No Nose,Tiny Whiskers
1357,Stuart,None,Bandit Mask,No Hat,Small Frown,Gold Chain,No Nose,No Whiskers
1359,Jerry,None,Looking Right,No Hat,Smile,Plain,Dark,Tiny Whiskers
1361,Simon,None,Looking Left,No Hat,Straight,Plain,Dark,Tiny Whiskers
1363,Reepicheep,None,Bandit Mask,No Hat,Smile,Plain,Normal,Whiskers
1364,Jerry,Flower,Bandit Mask,No Hat,Small Smile,Black Necklace,Normal,Tiny Whiskers
1365,Simon,None,Crosseyed,Elvis,Small Smile,Plain,Normal,Whiskers
1366,Templeton,None,Closed,Halo,Small Frown,Plain,No Nose,Whiskers
1367,Templeton,None,Looking Up,No Hat,Frown,Plain,Tiny,Tiny Whiskers
1369,Jerry,None,Looking Right,No Hat,Big Smile,Plain,Big,Whiskers
1371,Common,None,Looking Up,No Hat,Smile,Fancy,Dark,Whiskers
1374,Jerry,None,Crosseyed,No Hat,Big Smile,Plain,Big,Whiskers
1377,Reepicheep,None,Looking Up,No Hat,Big Smile,Red Necklace,Big,Whiskers
1378,Alvin,None,Closed,No Hat,Straight,Plain,Normal,No Whiskers
1379,Alvin,None,Looking Left,No Hat,Small Frown,Plain,Dark,Whiskers
1382,Templeton,None,Looking Up,Elvis,Small Frown,Plain,Dark,Whiskers
1384,Common,None,Crosseyed,Karate Kid,Small Smile,Plain,Tiny,Tiny Whiskers
1386,Stuart,None,Looking Up,Construction Hat,Big Frown,Plain,Big,Whiskers
1387,Stuart,None,Sunglasses,Construction Hat,Big Smile,Gold Chain,Tiny,Whiskers
1391,Common,None,Looking Up,No Hat,Small Frown,Plain,Normal,No Whiskers
1394,Jerry,None,Looking Up,Karate Kid,Straight,Plain,Dark,Tiny Whiskers
1395,Stuart,Bar,Looking Left,No Hat,Smile,Plain,Big,Whiskers
1397,Stuart,None,Looking Left,Halo,Frown,Fancy,Normal,Whiskers
1399,Common,None,Looking Up,Cheese,Big Smile,Plain,Big,No Whiskers
1400,Matthias,None,Looking Left,No Hat,Straight,Plain,No Nose,Tiny Whiskers
1401,Simon,None,Looking Up,Elvis,Smile,Red Necklace,Tiny,Tiny Whiskers
1402,Common,None,Looking Left,No Hat,Frown,Plain,Big,Tiny Whiskers
1403,Stuart,None,Looking Right,No Hat,Smile,Plain,Normal,Whiskers
1404,Alvin,None,Sunglasses,Karate Kid,Frown,Plain,No Nose,Tiny Whiskers
1405,Stuart,None,Looking Right,No Hat,Small Smile,Fancy,Tiny,Whiskers
1406,Jerry,None,Looking Right,Elvis,Frown,Plain,Big,Tiny Whiskers
1407,Stuart,None,Crosseyed,Construction Hat,Smile,Fancy,Big,Whiskers
1408,Jerry,None,Crosseyed,No Hat,Frown,Plain,No Nose,Big Whiskers
1411,Reepicheep,None,Looking Up,No Hat,Big Frown,Plain,No Nose,Whiskers
1414,Matthias,None,Looking Up,Soldier,Frown,Plain,Big,Tiny Whiskers
1415,Jerry,None,Crosseyed,No Hat,Small Frown,Plain,Dark,Handlebar
1416,Alvin,None,Crosseyed,No Hat,Smile,Plain,Normal,No Whiskers
1417,Simon,Bar,Looking Left,Construction Hat,Big Frown,Plain,Dark,Tiny Whiskers
1418,Jerry,Stud,Sunglasses,Construction Hat,Big Smile,Plain,Normal,Whiskers
1419,Reepicheep,None,Crosseyed,Karate Kid,Small Smile,Plain,Normal,Whiskers
1420,Reepicheep,None,Looking Right,Construction Hat,Big Frown,Plain,Big,Whiskers
1421,Stuart,None,Looking Up,Elvis,Big Frown,Plain,Tiny,Tiny Whiskers
1422,Templeton,None,3D Glasses,Elvis,Small Frown,Plain,Tiny,Tiny Whiskers
1425,Matthias,None,Looking Left,Karate Kid,Big Smile,Plain,No Nose,Tiny Whiskers
1426,Simon,None,Looking Right,Elvis,Big Smile,Plain,Normal,Whiskers
1427,Jerry,None,Looking Up,No Hat,Small Frown,Red Necklace,Dark,Whiskers
1429,Templeton,None,Looking Up,Cheese,Frown,Plain,Dark,Tiny Whiskers
1430,Stuart,None,Crosseyed,Cheese,Frown,Fancy,No Nose,Whiskers
1431,Simon,None,Looking Left,Karate Kid,Small Smile,Fancy,Normal,Big Whiskers
1432,Templeton,None,Sunglasses,Karate Kid,Small Frown,Black Necklace,No Nose,No Whiskers
1434,Jerry,None,Looking Left,No Hat,Straight,Black Necklace,Dark,Whiskers
1436,Jerry,None,Bandit Mask,No Hat,Frown,Fancy,No Nose,Big Whiskers
1437,Reepicheep,None,Crosseyed,No Hat,Small Frown,Fancy,No Nose,Whiskers
1438,Templeton,None,Sunglasses,No Hat,Smile,Black Necklace,No Nose,Tiny Whiskers
1439,Matthias,None,Looking Right,Karate Kid,Smile,Plain,Normal,Big Whiskers
1440,Jerry,None,Looking Right,Elvis,Frown,Plain,Big,No Whiskers
1441,Matthias,Stud,Looking Up,No Hat,Big Frown,Red Necklace,No Nose,Whiskers
1442,Reepicheep,None,Looking Right,Motorcycle Helmet,Small Smile,Gold Chain,Big,No Whiskers
1448,Simon,None,VR Goggles,Elvis,Smile,Plain,No Nose,Tiny Whiskers
1452,Templeton,None,Looking Left,Elvis,Small Smile,Plain,Big,Whiskers
1453,Reepicheep,None,Looking Left,No Hat,Small Frown,Plain,Normal,Whiskers
1454,Jerry,None,Crosseyed,No Hat,Smile,Gold Chain,Big,No Whiskers
1456,Matthias,None,Bandit Mask,Elvis,Big Frown,Black Necklace,No Nose,Tiny Whiskers
1457,Common,None,Looking Left,No Hat,Small Smile,Plain,Normal,Tiny Whiskers
1458,Irradiated,None,Crosseyed,No Hat,Small Smile,Plain,Big,Whiskers
1460,Simon,None,Crosseyed,Karate Kid,Smile,Plain,Normal,Whiskers
1461,Templeton,None,Crosseyed,Construction Hat,Big Smile,Plain,Normal,Whiskers
1462,Stuart,None,Looking Up,No Hat,Small Smile,Plain,Tiny,No Whiskers
1463,Reepicheep,None,Looking Up,No Hat,Small Smile,Plain,Normal,Whiskers
1464,Stuart,None,Crosseyed,No Hat,Small Smile,Plain,Dark,Tiny Whiskers
1472,Jerry,None,Looking Left,Cheese,Straight,Gold Chain,Tiny,Whiskers
1473,Reepicheep,None,Closed,No Hat,Big Smile,Plain,No Nose,No Whiskers
1474,Alvin,None,Sunglasses,No Hat,Frown,Plain,Big,No Whiskers
1475,Simon,Stud,Looking Right,No Hat,Straight,Black Necklace,Big,Tiny Whiskers
1477,Matthias,None,Looking Up,No Hat,Frown,Black Necklace,Tiny,Tiny Whiskers
1478,Common,None,Crosseyed,Soldier,Smile,Red Necklace,Normal,Tiny Whiskers
1481,Common,None,Sunglasses,Elvis,Smile,Plain,No Nose,Tiny Whiskers
1482,Simon,None,Looking Left,No Hat,Small Smile,Plain,Tiny,Whiskers
1484,Jerry,None,VR Goggles,Karate Kid,Small Smile,Plain,Tiny,Whiskers
1485,Stuart,None,Looking Right,Halo,Smile,Plain,Tiny,No Whiskers
1489,Matthias,None,Crosseyed,No Hat,Big Smile,Plain,No Nose,Big Whiskers
1490,Matthias,None,Looking Right,Construction Hat,Small Frown,Gold Chain,No Nose,Tiny Whiskers
1491,Templeton,Stud,Crosseyed,No Hat,Big Smile,Plain,Big,Whiskers
1492,Common,None,Looking Left,No Hat,Big Smile,Plain,Normal,Tiny Whiskers
1493,Simon,None,Crazy,Karate Kid,Frown,Plain,Big,Whiskers
1495,Templeton,None,Looking Up,No Hat,Frown,Plain,No Nose,Tiny Whiskers
1496,Common,None,Looking Right,Karate Kid,Frown,Red Necklace,Tiny,Whiskers
1497,Alvin,None,Looking Right,No Hat,Small Smile,Red Necklace,Dark,Whiskers
1499,Reepicheep,None,Crosseyed,Construction Hat,Small Smile,Plain,Normal,No Whiskers
1501,Jerry,None,Looking Left,Elvis,Small Frown,Black Necklace,Big,Tiny Whiskers
1502,Reepicheep,None,Sunglasses,Halo,Small Smile,Black Necklace,Tiny,Tiny Whiskers
1503,Jerry,None,Crosseyed,No Hat,Small Smile,Plain,Big,Tiny Whiskers
1505,Alvin,None,Looking Up,No Hat,Straight,Plain,Dark,Whiskers
1506,Templeton,None,Bandit Mask,Elvis,Big Smile,Gold Chain,No Nose,Whiskers
1508,Reepicheep,Flower,Looking Left,Cheese,Frown,Plain,No Nose,Whiskers
1509,Reepicheep,None,Looking Right,No Hat,Frown,Red Necklace,Dark,Tiny Whiskers
1510,Matthias,None,Looking Left,Motorcycle Helmet,Big Smile,Plain,Big,Whiskers
1513,Common,None,Crazy,Karate Kid,Small Frown,Black Necklace,Tiny,Big Whiskers
1515,Templeton,None,Bandit Mask,No Hat,Small Frown,Plain,No Nose,Whiskers
1516,Templeton,None,Looking Right,Karate Kid,Big Frown,Plain,No Nose,Tiny Whiskers
1517,Stuart,None,Bandit Mask,No Hat,Straight,Plain,Dark,Tiny Whiskers
1518,Stuart,None,Looking Up,Soldier,Smile,Plain,Big,Whiskers
1520,Matthias,None,Looking Right,Cheese,Small Smile,Plain,Normal,Tiny Whiskers
1521,Templeton,None,Looking Right,Halo,Big Frown,Plain,Tiny,No Whiskers
1522,Alvin,None,Looking Left,No Hat,Small Frown,Plain,Big,Whiskers
1524,Common,None,Bandit Mask,No Hat,Smile,Red Necklace,Big,Big Whiskers
1526,Matthias,None,Closed,Construction Hat,Small Frown,Fancy,Dark,Whiskers
1527,Jerry,None,Closed,No Hat,Big Frown,Plain,Normal,Whiskers
1528,Reepicheep,None,Crazy,No Hat,Big Smile,Black Necklace,Dark,Whiskers
1529,Matthias,Bar,Looking Left,No Hat,Big Frown,Plain,Tiny,Tiny Whiskers
1530,Simon,None,Sunglasses,Elvis,Small Frown,Plain,Normal,Whiskers
1533,Jerry,None,Looking Right,Karate Kid,Small Frown,Plain,Big,Whiskers
1534,Jerry,None,Looking Up,Halo,Big Smile,Fancy,Dark,Tiny Whiskers
1535,Jerry,None,Bandit Mask,No Hat,Small Frown,Plain,Normal,Tiny Whiskers
1536,Stuart,None,Looking Left,No Hat,Big Smile,Plain,Big,Whiskers
1537,Common,None,Sunglasses,Elvis,Big Frown,Plain,Tiny,Whiskers
1538,Common,None,Looking Right,Karate Kid,Frown,Red Necklace,No Nose,Whiskers
1539,Jerry,None,Looking Up,Karate Kid,Smile,Plain,Big,Tiny Whiskers
1541,Jerry,None,Looking Right,Cheese,Small Frown,Plain,Big,Whiskers
1542,Common,Bar,Looking Left,No Hat,Smile,Gold Chain,Big,Big Whiskers
1543,Reepicheep,Stud,Looking Up,No Hat,Frown,Plain,Tiny,Whiskers
1544,Reepicheep,None,Crosseyed,No Hat,Frown,Red Necklace,Tiny,No Whiskers
1547,Reepicheep,None,Looking Right,No Hat,Small Frown,Plain,Dark,Whiskers
1549,Jerry,None,Looking Left,Construction Hat,Smile,Black Necklace,Tiny,Big Whiskers
1550,Reepicheep,None,Looking Left,No Hat,Small Frown,Plain,Big,No Whiskers
1551,Simon,None,Looking Left,No Hat,Big Smile,Plain,Big,Whiskers
1552,Common,Bar,Looking Left,No Hat,Smile,Plain,Big,Tiny Whiskers
1553,Templeton,None,Looking Left,Karate Kid,Frown,Plain,Dark,Tiny Whiskers
1554,Stuart,None,Sunglasses,No Hat,Big Frown,Plain,Tiny,Whiskers
1555,Stuart,Bar,Crosseyed,No Hat,Big Smile,Red Necklace,Normal,Big Whiskers
1556,Stuart,None,Looking Right,Motorcycle Helmet,Straight,Fancy,Big,Tiny Whiskers
1558,Common,None,Looking Right,Cheese,Big Smile,Plain,Normal,Whiskers
1559,Matthias,Stud,Crosseyed,Karate Kid,Frown,Plain,Tiny,Big Whiskers
